#Project: isoniazid
#PK-Sim version: 5.6.6 - Build 6650
IndividualId;Gender;RaceIndex;Population Name;Organism|Weight;Organism|BMI;Organism|Gestational age;Organism|Age;Organism|Ontogeny factor (alpha1-acid glycoprotein);Organism|Ontogeny factor (albumin);Organism|Height;Organism|Hematocrit;Organism|VenousBlood|Volume;Organism|ArterialBlood|Volume;Organism|Bone|Specific blood flow rate;Organism|Bone|Volume;Organism|Brain|Volume;Organism|Brain|Specific blood flow rate;Organism|Fat|Volume;Organism|Fat|Vf (neutral lipid)-PT;Organism|Fat|Vf (lipid);Organism|Fat|Vf (phospholipid)-PT;Organism|Fat|Fraction interstitial;Organism|Fat|Vf (water)-PT;Organism|Fat|Vf (water);Organism|Fat|Vf (neutral lipid)-WS;Organism|Fat|Vf (neutral lipid)-RR;Organism|Fat|Vf (neutral phospholipid, plasma)-WS;Organism|Fat|Vf (neutral phospholipid)-RR;Organism|Fat|Vf (extracellular water)-RR;Organism|Fat|Vf (intracellular water)-RR;Organism|Fat|Vf (water)-WS;Organism|Fat|Specific blood flow rate;Organism|Gonads|Volume;Organism|Gonads|Specific blood flow rate;Organism|Heart|Volume;Organism|Heart|Specific blood flow rate;Organism|Kidney|Volume;Organism|Kidney|Hill coefficient for GFR;Organism|Kidney|GFRmat;Organism|Kidney|TM50 for GFR;Organism|Kidney|Specific blood flow rate;Organism|Lumen|Effective surface area variability factor;Organism|Lumen|Stomach|Proximal radius;Organism|Lumen|Stomach|Distal radius;Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor;Organism|Lumen|Stomach|Gastric emptying time;Organism|Lumen|Stomach|Length;Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor;Organism|Lumen|Duodenum|Effective surface area enhancement factor;Organism|Lumen|UpperJejunum|Effective surface area enhancement factor;Organism|Lumen|LowerJejunum|Effective surface area enhancement factor;Organism|Lumen|UpperIleum|Effective surface area enhancement factor;Organism|Lumen|LowerIleum|Effective surface area enhancement factor;Organism|Lumen|Caecum|Effective surface area enhancement factor;Organism|Lumen|ColonAscendens|Effective surface area enhancement factor;Organism|Lumen|ColonTransversum|Effective surface area enhancement factor;Organism|Lumen|ColonDescendens|Effective surface area enhancement factor;Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor;Organism|Lumen|Rectum|Effective surface area enhancement factor;Organism|Stomach|Volume;Organism|Stomach|Specific blood flow rate;Organism|SmallIntestine|Small intestinal transit time;Organism|SmallIntestine|Volume;Organism|SmallIntestine|Specific blood flow rate;Organism|LargeIntestine|Large intestinal transit time;Organism|LargeIntestine|Volume;Organism|LargeIntestine|Specific blood flow rate;Organism|Liver|Volume;Organism|Liver|Specific blood flow rate;Organism|Lung|Volume;Organism|Lung|Fraction vascular;Organism|Muscle|Volume;Organism|Muscle|Vf (lipid);Organism|Muscle|Vf (neutral lipid)-PT;Organism|Muscle|Vf (protein);Organism|Muscle|Vf (phospholipid)-PT;Organism|Muscle|Vf (water)-PT;Organism|Muscle|Vf (water);Organism|Muscle|Fraction interstitial;Organism|Muscle|Vf (neutral lipid)-WS;Organism|Muscle|Vf (neutral lipid)-RR;Organism|Muscle|Vf (neutral phospholipid, plasma)-WS;Organism|Muscle|Vf (neutral phospholipid)-RR;Organism|Muscle|Vf (extracellular water)-RR;Organism|Muscle|Vf (protein)-WS;Organism|Muscle|Vf (intracellular water)-RR;Organism|Muscle|Vf (water)-WS;Organism|Muscle|Specific blood flow rate;Organism|Pancreas|Volume;Organism|Pancreas|Specific blood flow rate;Organism|PortalVein|Volume;Organism|Skin|Volume;Organism|Skin|Specific blood flow rate;Organism|Spleen|Volume;Organism|Spleen|Specific blood flow rate;NAT2|Ontogeny factor GI;NAT2|Ontogeny factor;Amidase_liver|Ontogeny factor GI;Amidase_liver|Ontogeny factor;Conjugase_liver|Ontogeny factor GI;Conjugase_liver|Ontogeny factor;CYP2E1|Ontogeny factor GI;CYP2E1|Ontogeny factor;INHA_liver_transporter|Ontogeny factor GI;INHA_liver_transporter|Ontogeny factor;NAAA|Ontogeny factor GI;NAAA|Ontogeny factor;BAAT|Ontogeny factor GI;BAAT|Ontogeny factor;SLC16A10|Ontogeny factor GI;SLC16A10|Ontogeny factor;GLYAT|Ontogeny factor GI;GLYAT|Ontogeny factor;SLC22A6|Ontogeny factor GI;SLC22A6|Ontogeny factor;SLC16A10.apical.efflux|Ontogeny factor GI;SLC16A10.apical.efflux|Ontogeny factor;SLC16A10.influx|Ontogeny factor GI;SLC16A10.influx|Ontogeny factor;CYP2E1|Reference concentration;CYP2E1|t1/2 (liver);NAT2|Reference concentration;NAAA|Reference concentration;SLC16A10|Reference concentration;GLYAT|Reference concentration
0;1;0;Ellard1973;71.4363279735768;0.238887846771447;40;43.3398545837681;1.10644384082124;1.25849799356113;17.2926890917057;0.47;0.934765353701513;0.421393924110195;0.0301558319222459;11.1721083237966;1.44371495618784;0.520411091086736;13.7832891685504;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.021347230908429;0.0398570673932832;0.0770330965236915;0.308791223335942;0.61546587868434;0.561034711092974;14.7626760899885;0.0963574136767305;43.5601685654187;2.97573950570187;1.07318844412206;0.5;0.5;0.558694831183079;20.0696408578751;2;0.927411108374633;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.116108791295613;0.384306252717797;150.714466786913;0.754856617662716;0.914577439066941;2652;0.377142076044766;0.626748516429244;3.30334638132174;0.212451629557389;1.16420118660759;0.58;31.8341946949128;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0362550816185935;0.197300478070445;0.347648888153981;1.02727653770129;3.74928554712792;0.0853653238571639;0.247660934663192;0.812743647280435;1;1;1;1;1;1;0.858771461630701;1.35789675206921;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.38322681041403;2160;1.553772978145;1.07905947501176;0.632980979986607;1.05502030487443
1;1;0;Ellard1973;73.3620809613365;0.23600518138967;40;37.3560007528197;1.05614210070194;1.10248487533702;17.6309231337295;0.47;0.942812856692635;0.43287642290917;0.0260721100435184;11.6185537128239;1.39137946968245;0.537167995508976;15.4720255578148;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0227269299430031;0.0430644354139374;0.0796021200664497;0.304591272206893;0.622217990108019;0.558198265663024;14.757293431481;0.140250799727189;45.2254636933911;2.9146434955892;0.743702504223267;0.5;0.5;1.60417105733539;13.89292890499;2;1.06683828539116;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.182938403672454;0.390411936225269;218.400230159782;0.792505265333634;0.879556037804128;2652;0.32596331077997;0.660883576803194;1.5355750154529;0.176353928392745;1.54877116157877;0.58;33.0790372234086;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0387137268386014;0.161297606492856;0.31691531755747;1.02470019909336;3.77077643639807;0.084171267948183;0.177014345919122;0.816338777606252;1;1;1;1;1;1;0.631370791815227;1.23513321263696;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.966089263055017;2160;0.707237458933041;0.736679900834434;0.901711931530887;0.904678863255179
2;1;0;Ellard1973;78.2489508261781;0.243660722091235;40;50.3651566907601;0.956961020822661;1.3364058445434;17.9203504362402;0.47;1.02268207402838;0.412852409288999;0.0293943568256413;12.3599630132454;1.63870643413518;0.515616523564085;17.8785976255753;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0241115477514345;0.0450782830048582;0.0795965164566174;0.459174305026363;0.563700747240139;0.538065537601937;14.7574180779267;0.141446509253795;42.8610846079149;3.08838924809735;0.474969144847978;0.5;0.5;1.39033254218912;7.6688375362192;2;0.844166944018351;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.172596572438145;0.393082057879876;144.653386118708;0.771707893273707;0.920895888867739;2652;0.618613311001574;0.659729181660934;1.81655860146464;0.202468128405013;1.26868907638656;0.58;33.4096280152673;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0419606043947575;0.264628722026275;0.340459249380652;1.12604110556323;4.08100256185926;0.0790193635033338;0.364365284990978;0.789922798975828;1;1;1;1;1;1;0.909455712847826;0.672323427565532;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.1052951671566;2160;1.06245182944218;0.885039947195935;1.17246576433104;1.11251395393244
3;1;0;Ellard1973;67.4395047628773;0.257328227040429;40;36.223173264518;1.00787413658064;0.891032384645825;16.1887558126616;0.47;0.900254217292586;0.40846273191725;0.0276632750555237;9.97694257840967;1.54548115510525;0.509847560515998;13.5838513321198;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0232895021823979;0.0379640556133338;0.0777304840581145;0.383994476026949;0.628406987476375;0.408697356608777;14.9681476366582;0.112173622357118;44.8356533402137;3.08924619574398;0.610160121924141;0.5;0.5;1.3517106599199;22.3493521503551;2;0.915274568225601;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.183700708761597;0.388846608528831;163.224331157585;0.69072769198582;0.878766712742722;2652;0.37296167266082;0.618859711655163;2.00583233190489;0.197339605129521;1.57220154087347;0.58;30.2878292023793;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0362060518429042;0.203792118077853;0.343887882849933;1.00072957548184;3.60270534792927;0.0843722151088038;0.273376669728953;0.758314396679124;1;1;1;1;1;1;1.14397526444042;0.635143828687834;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.02864247613289;2160;0.947510278836688;0.717653887975508;1.05844492485296;1.36782001033166
4;1;0;Ellard1973;60.2755646718759;0.226989843891885;40;37.7657202569608;1.03551732054439;0.752307431135463;16.2954902487263;0.47;0.954791220183694;0.378981022371748;0.0248211076981181;9.98708453678254;1.47146941413428;0.50968720840676;9.48976071940483;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0203401116759811;0.0358724619089019;0.0801301504759862;0.347314210325342;0.655345239797793;0.519501968681099;15.0235195895087;0.140551025089749;45.469300956385;3.28361570408921;0.827536130341791;0.5;0.5;0.483695750838687;27.8562462841049;2;1.22296945795032;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.19723028234253;0.38233255078414;105.238811255341;0.650267387135356;0.911145206661315;2652;0.468577818884345;0.630113405701876;0.929374238641031;0.195466750498778;1.52430815803994;0.58;28.9306555651194;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0379235870546785;0.0582732928644161;0.357964736473391;0.950417383371544;3.27308357387218;0.0875128752975931;0.108601417812691;0.788636143449465;1;1;1;1;1;1;1.50332583747192;1.00415536074622;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.11948920156889;2160;1.27762399903972;0.897015337577138;0.800768571173218;1.0917864533173
5;1;0;Ellard1973;69.8918662676278;0.22883948656136;40;34.8255862807043;1.23134261685961;1.20538563621003;17.4762334033608;0.47;1.00719906294993;0.41568318622184;0.0276925058139232;11.5623033360598;1.5898007751341;0.531359887055731;14.0863629449574;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0222196936931775;0.0401700997747564;0.0790658813675418;0.383706931669078;0.690434345717227;0.482247365263548;15.0569197112276;0.085562217743186;44.8089803926866;3.23629884284959;1.1861243094353;0.5;0.5;0.818595167070215;11.1178894420423;2;1.19494116564713;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.144782156725262;0.370442608568835;64.6489396756753;0.763889303210145;0.859599343978533;2652;0.470373204159592;0.615581643733592;2.25528947722467;0.192723754523442;1.25754222801456;0.58;29.90761777139;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0360385345002939;0.219706698709847;0.350962068359816;1.07781607029143;3.95766632428985;0.0958849326511352;0.269709331582088;0.771072991215486;1;1;1;1;1;1;0.850934380267043;0.919020995737172;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.839004525147797;2160;1.11165967849388;0.817352143737828;1.23799118921614;1.05657224244491
6;1;0;Ellard1973;69.8039742911593;0.221632916864043;40;38.5049780325522;0.862727142964675;0.995031890904603;17.7469180502782;0.47;0.917116689976322;0.461724148284051;0.0269566396128483;11.8331365333917;1.71777834271136;0.51719431387186;10.0591584710192;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0231198045360905;0.037856627826078;0.0818699193368216;0.410795121456759;0.635011633863452;0.462275715452699;15.2933815481989;0.110194699995836;44.4214341486474;2.98781064873759;2.05413927454791;0.5;0.5;2.20004764556926;10.1046244936346;2;0.831727601870667;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.229568693440353;0.377334410725163;147.575364605199;0.683069135465114;0.874393215701979;2652;0.417304977432016;0.583525195094355;2.64919704604261;0.190430227846355;1.22278231412628;0.58;33.2235272896502;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0387745063319326;0.133873900691763;0.323034948225361;1.05879148290731;3.69638135457412;0.0926475884383009;0.589636446711264;0.79778908463558;1;1;1;1;1;1;0.819392127822152;0.780638167591906;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.896539801925539;2160;1.2919196117132;0.287803972292411;1.12778484094922;0.824070248061224
7;1;0;Ellard1973;66.3371079237779;0.238941214408145;40;36.839496274404;0.894765373766474;0.967018475858245;16.6622149814253;0.47;0.850277598424263;0.376707678476981;0.0267102300420655;10.2424404731614;1.68974593089376;0.529844279205062;13.7371225155832;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.020187611303115;0.039922469991798;0.0726262711913565;0.372168498671728;0.594661613873257;0.322102177589934;14.7143071211581;0.0857169264353897;42.6266565920037;3.10575737803255;1.33571771742245;0.5;0.5;1.38430805450675;20.8827184571081;2;0.825351235394272;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.132252552682558;0.378866112592892;380.389694712166;0.496757014620064;0.92659620134664;2652;0.316794598971509;0.635091342560601;3.13587019025022;0.191823495774915;1.63757323585836;0.58;28.3210354912711;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0359665286348661;0.166612767306178;0.355498437511914;0.954195662215377;3.39452486837194;0.0906361158137652;0.151004199437469;0.869327751701657;1;1;1;1;1;1;0.588571159706361;1.10922126349634;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.16941391548888;2160;0.596883191004069;0.682462821043339;1.22518161071416;0.934624424035301
8;1;0;Ellard1973;71.3474884956264;0.223003049566158;40;64.2612189181434;1.08296469065779;0.904398293520547;17.8868532550375;0.47;1.15699168065238;0.481241526204728;0.0255167634030276;13.7838236938607;1.55274073929712;0.496488999730583;18.1514814676998;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0199889639113815;0.0472813503051594;0.0763355361474956;0.490164360280923;0.536044028734794;0.465032696510161;14.8969100382515;0.111766696575229;43.2083983317358;2.86759509917813;1.36725319756824;0.5;0.5;1.25031240651174;12.0928065781822;2;0.449544070207652;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.219493600627874;0.32634342314139;190.860402142028;0.876534933260121;0.802918798925539;2652;0.382331948679756;0.600716188518422;1.57033791316638;0.231412784189951;1.66292100034276;0.58;24.723227753051;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.045597588099773;0.304453004230847;0.326643726408771;1.28832601323497;3.78449958674654;0.08139902222845;0.406605227475074;0.756292805977762;1;1;1;1;1;1;1.14089291602699;1.12864414217063;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.632082586400341;2160;1.25294946607367;1.00411659323494;0.851580093365501;1.43646338621092
9;1;0;Ellard1973;76.7099749365563;0.250236694019607;40;56.4784557309367;1.21989879861296;0.933050114987851;17.5085597881648;0.47;1.06823197738078;0.435247840065786;0.0255993705911069;12.700673017643;1.47404526842925;0.526350472343187;20.1159622793579;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0208903232787825;0.0419340165334126;0.0772854784965619;0.561781287697496;0.56959338600877;0.421177224433752;14.9452114879327;0.0699416438150592;44.702141623195;2.92701241872235;0.91082087299333;0.5;0.5;0.770946607610155;11.4295794092611;2;0.717484784728557;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.19200450244764;0.35505471332384;61.6635672179054;0.719750943969089;0.829896138522871;2652;0.398368192860309;0.606727028524711;2.60042144390043;0.244357447659931;1.55581494156365;0.58;28.5862977505742;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0457081475753168;0.206221337995695;0.330414427617406;1.17570655936043;4.27232058402288;0.0793809104138468;0.1840157683206;0.740172881740359;1;1;1;1;1;1;0.992365984937211;1.03762490083278;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.01429082107231;2160;0.94545858224715;1.23465184629654;1.59482982854192;0.357540543666918
