#Project: isoniazid
#PK-Sim version: 5.6.6 - Build 6650
IndividualId;Gender;RaceIndex;Population Name;Organism|Weight;Organism|BMI;Organism|Gestational age;Organism|Age;Organism|Ontogeny factor (alpha1-acid glycoprotein);Organism|Ontogeny factor (albumin);Organism|Height;Organism|Hematocrit;Organism|VenousBlood|Volume;Organism|ArterialBlood|Volume;Organism|Bone|Specific blood flow rate;Organism|Bone|Volume;Organism|Brain|Volume;Organism|Brain|Specific blood flow rate;Organism|Fat|Volume;Organism|Fat|Vf (neutral lipid)-PT;Organism|Fat|Vf (lipid);Organism|Fat|Vf (phospholipid)-PT;Organism|Fat|Fraction interstitial;Organism|Fat|Vf (water)-PT;Organism|Fat|Vf (water);Organism|Fat|Vf (neutral lipid)-WS;Organism|Fat|Vf (neutral lipid)-RR;Organism|Fat|Vf (neutral phospholipid, plasma)-WS;Organism|Fat|Vf (neutral phospholipid)-RR;Organism|Fat|Vf (extracellular water)-RR;Organism|Fat|Vf (intracellular water)-RR;Organism|Fat|Vf (water)-WS;Organism|Fat|Specific blood flow rate;Organism|Gonads|Volume;Organism|Gonads|Specific blood flow rate;Organism|Heart|Volume;Organism|Heart|Specific blood flow rate;Organism|Kidney|Volume;Organism|Kidney|Hill coefficient for GFR;Organism|Kidney|GFRmat;Organism|Kidney|TM50 for GFR;Organism|Kidney|Specific blood flow rate;Organism|Lumen|Effective surface area variability factor;Organism|Lumen|Stomach|Proximal radius;Organism|Lumen|Stomach|Distal radius;Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor;Organism|Lumen|Stomach|Gastric emptying time;Organism|Lumen|Stomach|Length;Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor;Organism|Lumen|Duodenum|Effective surface area enhancement factor;Organism|Lumen|UpperJejunum|Effective surface area enhancement factor;Organism|Lumen|LowerJejunum|Effective surface area enhancement factor;Organism|Lumen|UpperIleum|Effective surface area enhancement factor;Organism|Lumen|LowerIleum|Effective surface area enhancement factor;Organism|Lumen|Caecum|Effective surface area enhancement factor;Organism|Lumen|ColonAscendens|Effective surface area enhancement factor;Organism|Lumen|ColonTransversum|Effective surface area enhancement factor;Organism|Lumen|ColonDescendens|Effective surface area enhancement factor;Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor;Organism|Lumen|Rectum|Effective surface area enhancement factor;Organism|Stomach|Volume;Organism|Stomach|Specific blood flow rate;Organism|SmallIntestine|Small intestinal transit time;Organism|SmallIntestine|Volume;Organism|SmallIntestine|Specific blood flow rate;Organism|LargeIntestine|Large intestinal transit time;Organism|LargeIntestine|Volume;Organism|LargeIntestine|Specific blood flow rate;Organism|Liver|Volume;Organism|Liver|Specific blood flow rate;Organism|Lung|Volume;Organism|Lung|Fraction vascular;Organism|Muscle|Volume;Organism|Muscle|Vf (lipid);Organism|Muscle|Vf (neutral lipid)-PT;Organism|Muscle|Vf (protein);Organism|Muscle|Vf (phospholipid)-PT;Organism|Muscle|Vf (water)-PT;Organism|Muscle|Vf (water);Organism|Muscle|Fraction interstitial;Organism|Muscle|Vf (neutral lipid)-WS;Organism|Muscle|Vf (neutral lipid)-RR;Organism|Muscle|Vf (neutral phospholipid, plasma)-WS;Organism|Muscle|Vf (neutral phospholipid)-RR;Organism|Muscle|Vf (extracellular water)-RR;Organism|Muscle|Vf (protein)-WS;Organism|Muscle|Vf (intracellular water)-RR;Organism|Muscle|Vf (water)-WS;Organism|Muscle|Specific blood flow rate;Organism|Pancreas|Volume;Organism|Pancreas|Specific blood flow rate;Organism|PortalVein|Volume;Organism|Skin|Volume;Organism|Skin|Specific blood flow rate;Organism|Spleen|Volume;Organism|Spleen|Specific blood flow rate;NAT2|Ontogeny factor GI;NAT2|Ontogeny factor;Amidase_liver|Ontogeny factor GI;Amidase_liver|Ontogeny factor;Conjugase_liver|Ontogeny factor GI;Conjugase_liver|Ontogeny factor;CYP2E1|Ontogeny factor GI;CYP2E1|Ontogeny factor;INHA_liver_transporter|Ontogeny factor GI;INHA_liver_transporter|Ontogeny factor;NAAA|Ontogeny factor GI;NAAA|Ontogeny factor;BAAT|Ontogeny factor GI;BAAT|Ontogeny factor;SLC16A10|Ontogeny factor GI;SLC16A10|Ontogeny factor;GLYAT|Ontogeny factor GI;GLYAT|Ontogeny factor;SLC22A6|Ontogeny factor GI;SLC22A6|Ontogeny factor;SLC16A10.apical.efflux|Ontogeny factor GI;SLC16A10.apical.efflux|Ontogeny factor;SLC16A10.influx|Ontogeny factor GI;SLC16A10.influx|Ontogeny factor;CYP2E1|Reference concentration;CYP2E1|t1/2 (liver);NAT2|Reference concentration;NAAA|Reference concentration;SLC16A10|Reference concentration;GLYAT|Reference concentration
0;1;0;Pea1999;59.2359374549941;0.20430539086586;40;23.1032910994735;1.0492584872527;0.718175610424117;17.027571784215;0.447010970331578;0.915920489360281;0.376104845381903;0.0338134429250289;10.4749730324695;1.48125731909946;0.518394544069277;10.2979460314934;0.758217666483407;0.76781535846421;0.00191953839616052;0.187586835602106;0.218621569842948;0.18218464153579;0.882987662233841;0.818683125962464;0.00194257285691445;0.00153563071692842;0.163966177382211;0.0109310784921474;0.0364369283071581;0.0274473061849705;0.0273773860419047;0.122948197206165;0.178353310512851;0.686756466129075;0.495752259998128;14.9369185303722;0.11944367693394;44.550810000467;3.27110395136777;0.686866146333019;0.488243410227569;0.488243410227569;0.616550516182182;10.2936844947948;1.95296444529841;1.17869443691781;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.157100046034315;0.43741356275326;193.762695520913;0.728847849043634;0.982837077106055;2584.41225277484;0.402103706486877;0.742671967166704;1.46201441800825;0.206073223842739;1.01816279554492;0.58;26.893225269631;0.013;0.0238;0.177;0.0072;0.76;0.811;0.169195611867369;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0361849962778515;0.121088189694152;0.366392760746629;0.923530734104228;3.04380422996701;0.10362665407385;0.23837554212233;0.869962291427733;1;1;1;1;1;1;1.25990959377881;0.963903298548638;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.23556296662619;2160;1.04005630288023;1.24305603204512;0.600643078572513;0.964915268882317
1;1;0;Pea1999;73.6852912165691;0.235655734580229;40;37.3910937287803;0.71313622080497;1.16063309667305;17.6828146958954;0.47;0.947361820706393;0.398639294654704;0.0274576993133924;11.7808585523659;1.50166049086195;0.522217921223062;15.2444405984644;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0218480937530215;0.036281261580347;0.0844670411620817;0.466520476445511;0.650383043454382;0.567933740079281;15.1939210925146;0.109192872748384;43.6438391303415;3.13682080186412;1.02285458571562;0.5;0.5;0.601185781084832;22.424393065577;2;0.754510466725044;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.170882495818717;0.372150397328794;160.06496448146;0.828804393497917;0.932629421986933;2652;0.362597124723101;0.625928316054697;2.83678811345116;0.192010867310857;2.20450382816672;0.58;31.6372296233271;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0384752511134028;0.168552879016193;0.329860313993796;0.947436951015326;3.39675099623727;0.0855663973888395;0.188048576157108;0.786462827829844;1;1;1;1;1;1;1.0002573362765;0.921690235354677;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.568796741930604;2160;0.758324612784496;1.0900270602249;1.22730286639081;1.01267400206977
2;1;0;Pea1999;76.7010415374285;0.242938878443693;40;62.5159111379254;1.33910611977984;1.24304163375048;17.7685553544672;0.47;1.06999763290933;0.47671135042775;0.024508612091909;13.3429671852637;1.54254370497664;0.527874787903818;22.4995434149345;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0199834128926483;0.0425028626823289;0.0753091116299865;0.304650811914344;0.546848150409987;0.312935796590455;14.9683263664405;0.13253904018369;46.1747608518885;2.96097274986944;0.612858518434154;0.5;0.5;1.78591513085752;15.5390460008674;2;0.927250475661812;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.173429845055455;0.345946290911109;74.2968437572892;0.654387248216067;0.824144965928441;2652;0.561413003211898;0.542202705551506;2.04524445149353;0.226652394221365;1.39255518778752;0.58;26.6332778014303;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0473448301737252;0.160645165749287;0.298320166520474;1.24545300903662;4.07948511359305;0.0743943240282332;0.16329795215582;0.709794953452263;1;1;1;1;1;1;1.03141647572861;1.13508226492804;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.02383185155403;2160;0.78657541450714;0.849833972634043;0.502930485335896;0.898865751691471
3;1;0;Pea1999;66.9908421378586;0.244338923270659;40;32.8626671800682;1.07175007591643;1.11773628664316;16.5581339200446;0.47;0.916457221735944;0.386415863556031;0.0290267239364716;10.3451056365355;1.48681498705345;0.462530582426205;12.6016528319425;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0227517355053884;0.0375917334398773;0.0777030835498263;0.490021760205071;0.615988878077151;0.356954818577798;14.9475754571476;0.0968000102793664;45.5659373758186;2.93626591193427;1.17574723499544;0.5;0.5;1.00201949542528;21.3056597292162;2;0.927634961754103;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.192402433265472;0.405955459538301;57.5241809339939;0.705468998412121;0.933645479631229;2652;0.436091999748448;0.573661101882847;1.5327164192557;0.179447550642091;1.10243806163592;0.58;31.4445139860117;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0356251520079369;0.203395334196544;0.368251440603841;0.955589943124745;3.5790643138818;0.0885788238003246;0.218145795280068;0.825411720715299;1;1;1;1;1;1;0.616426405301367;1.18584044869358;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.389143120713757;2160;0.840241723543737;1.1276330313884;1.03215490209469;0.992445120641334
4;1;0;Pea1999;71.8992148662568;0.230119473747793;40;76.6392994088304;1.01916845685389;1.7740324669133;17.6760567769787;0.47;1.16275884968172;0.475489758308275;0.0235929179782841;14.9470409344545;1.57848261920997;0.478227211203039;18.3617173010157;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0191055659188357;0.0476463517848561;0.0734486214863445;0.519649952665553;0.55039102280875;0.343711482524407;15.3224997282753;0.0781899569246539;43.9373651296742;2.81588876239453;1.37173440855152;0.5;0.5;0.981165597928921;12.3963104176891;2;0.798563650543596;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.245836893187084;0.353751489795399;137.300384973692;0.886584974933816;0.851078093767061;2652;0.597578970206336;0.627643970794693;1.46809876095658;0.243313123361;1.83983018768392;0.58;22.8797886959269;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0492257740891445;0.224136134659737;0.311558548440118;1.33613248259372;4.60181343356727;0.071512846954932;0.382917082896542;0.758377295207337;1;1;1;1;1;1;0.618421719164234;0.69647339368207;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.955388191412728;2160;0.79577673958743;1.07153976248931;1.08649311404349;1.02814728635342
5;1;0;Pea1999;65.7991747580427;0.2238090332748;40;35.5845093408527;1.20685158330012;0.88838654682358;17.1463394669765;0.47;0.976770786136487;0.381239021416525;0.0290097801611628;11.0477962620047;1.56522106930986;0.513109530956741;15.6698570104394;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0223861798482528;0.0404862302752824;0.0811193195404347;0.338839021470273;0.625721985092059;0.449082876110749;14.7383361758189;0.109723929416997;45.9382553516752;2.98138899105011;1.15844490713316;0.5;0.5;2.03846297620963;33.8624849295832;2;0.838244467958289;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.141985769178319;0.387057837898843;282.739066852621;0.574347791105567;0.819568631517405;2652;0.4110010027935;0.633090876207831;1.98112461753723;0.207837844262495;1.5077899605519;0.58;26.0203218170672;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0392156593928775;0.180835971957983;0.330920521948926;0.842121243350314;3.47959374246706;0.0818449819304219;0.190760564870311;0.788063098591515;1;1;1;1;1;1;0.852149730449251;1.04608989070262;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.44731393449355;2160;1.0712139326892;1.08118924383096;0.762360059447856;0.749528931547075
6;1;0;Pea1999;79.2967258571005;0.223327157783086;40;28.5166360989756;0.928448283939532;0.943916662553955;18.8432954870883;0.465055453663252;1.00440715954053;0.429209776180645;0.0252172805037922;13.4480965583399;1.47815135146783;0.521596490658121;19.0384840601712;0.783164164689446;0.793077635128553;0.00198269408782138;0.165933455604098;0.188306837845737;0.156922364871447;0.912039280397836;0.845619028455819;0.00200648641687524;0.00158615527025711;0.141230128384302;0.00941534189228681;0.0313844729742894;0.0224985994376775;0.0394679731642506;0.0853044931919434;0.300805105988241;0.655886567467199;0.483665385897771;15.1553090410093;0.147291875675958;44.0266971356819;2.92677908036558;0.775764511759999;0.497471359003387;0.497471359003387;1.15270103802505;13.0772590894178;1.98988345819501;0.700822241556623;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.114260066494928;0.417451056716007;88.7898416520978;0.983806718947888;0.935476761871286;2637.46303376996;0.431135783739331;0.651629732095486;2.07264537757793;0.170380199820125;1.48244151096836;0.58;32.9161973670265;0.013;0.0238;0.177;0.0072;0.76;0.811;0.161977818534699;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0333023911769882;0.213170295044436;0.336000965129188;1.04133218890601;3.57069698890067;0.0843816461519463;0.248752188744033;0.884296192692528;1;1;1;1;1;1;1.75500437707933;1.0332895180736;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.211252281687142;2160;0.852203417783294;1.07715641814059;1.6122794976256;0.278119127185995
7;1;0;Pea1999;79.0623361306517;0.220178171391965;40;26.735065147623;0.920018786620638;0.85318152999448;18.9494972029194;0.45911688382541;1.09926041217799;0.453487443926336;0.0283912808977879;13.1263221164177;1.55597834301284;0.564552718488322;14.1128442308475;0.774954091888629;0.784763637355574;0.00196190909338894;0.173059739409508;0.198283635173311;0.165236362644426;0.90247818295891;0.836754228330381;0.0019854520025096;0.00156952727471115;0.148712726379984;0.00991418175866554;0.0330472725288852;0.0240005313912837;0.0375352395052577;0.0953121559116406;0.418245729143046;0.672392744769626;0.442218007440225;14.7391703384498;0.104336367955657;44.129858043013;3.23926197135213;1.05616955678577;0.494434374388315;0.494434374388315;0.422196492111563;10.7624080561273;1.97773314430679;1.32348502558074;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.160145412757339;0.403725380876624;137.935028077032;0.892266435262421;0.853718160688759;2620.00363844671;0.407152277941253;0.677708446822419;1.91851486219675;0.188802480271184;1.52406040288857;0.58;37.4709834335192;0.013;0.0238;0.177;0.0072;0.76;0.811;0.164353246469836;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0339111931302101;0.258399690431435;0.383564683084325;0.998249043780969;4.02682892688212;0.0996267124528187;0.159844122520794;0.757270402886555;1;1;1;1;1;1;0.942749337785189;1.23912919388542;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.897550872595314;2160;1.31188772442565;0.459866147703176;0.646202204336414;0.876316088584281
8;1;0;Pea1999;65.3442967682457;0.218997932365872;40;72.8201592214499;0.999702895450308;1.06950547566863;17.2736389159139;0.47;1.0982438173296;0.535956820332803;0.0237643757786814;13.4741025544098;1.53604498125279;0.489673236009409;13.9394615713177;0.79;0.8;0.002;0.16;0.18;0.15;0.92;0.853;0.002024;0.0016;0.135;0.00899999999999998;0.03;0.0203661197839956;0.0474323351205813;0.0692708953915275;0.477668131650947;0.61523474972059;0.28558827941169;15.1581558126024;0.120165618688283;43.2616064493425;2.8892607947108;0.856404861660648;0.5;0.5;1.1372659168195;15.704668495227;2;0.998627251463466;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.125552852686783;0.344050262985447;387.869565333115;0.70003081561938;0.770738791537898;2652;0.452091516651513;0.576959989596441;2.85794962314915;0.241614334627544;1.44544242718135;0.58;22.4293066529265;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0442299241942303;0.225361486707186;0.300327264595989;1.19926988637748;4.07776715813218;0.0820321459745651;0.437025857988283;0.765957862272891;1;1;1;1;1;1;0.984313378757039;1.0642039241539;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.21341582037065;2160;0.775227276234184;0.819725641480556;0.910218450992174;0.920969727978464
9;1;0;Pea1999;62.3110778726896;0.226348487933805;40;24.6174800687551;1.39534708195535;1.09765209975359;16.5918125721704;0.45205826689585;0.807221056852338;0.378207656849805;0.0282512635786495;9.64082780468031;1.49953211739831;0.519319649041591;9.70783571931417;0.765195553983513;0.77488157365419;0.00193720393413548;0.18153007972498;0.210142111614971;0.17511842634581;0.891113809702319;0.826217477908781;0.0019604503813451;0.00154976314730838;0.157606583711229;0.0105071055807486;0.0350236852691619;0.0262616900068961;0.0335046821440633;0.108160637231288;0.303417302028664;0.618849645219266;0.340003839539594;15.2639427820222;0.0828930248051944;45.2072727040248;3.27541971967672;0.527858669973101;0.490824597690538;0.490824597690538;0.580004589657513;4.53368773912011;1.96329121406891;0.999543616803249;292.6883;447.9877;372.9358;260.7527;146.565;1.8;2.5;2.5;2.5;2.5;3.56;0.16443713686698;0.393099917509388;73.0096876354468;0.680476084304337;1.07428397162662;2599.2513046738;0.323490350347619;0.650468910274777;2.71767911316893;0.195829932461064;1.74759700469503;0.58;29.377045923469;0.013;0.0238;0.177;0.0072;0.76;0.811;0.16717669324166;0.0049;0.022;0.0042;0.0078;0.079;0.19;0.666;0.76;0.0341092820018585;0.227352971266928;0.370722851108125;0.94265320988941;3.28940650729525;0.105299956624872;0.130389392578853;0.863299389811325;1;1;1;1;1;1;0.649972530751619;1.34817117045328;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.902809334173089;2160;1.11598361264281;1.00260928867996;0.785407626743745;1.37671919144717
